#compiler;opt;program;seed;length;work;energy(J);time(s)
clang++;-O2;bitset;76;512;i;46.37;1.541433893
clang++;-O2;bitset;77;512;i;46.49;1.525583329
clang++;-O2;bitset;78;512;i;46.41;1.541344527
clang++;-O2;bitset;79;512;i;47.14;1.525822917
clang++;-O2;bitset;80;512;i;46.38;1.527384545
clang++;-O2;bitset;81;512;i;46.80;1.537536519
clang++;-O2;bitset;82;512;i;46.45;1.544744581
clang++;-O2;bitset;83;512;i;46.47;1.544964491
clang++;-O2;bitset;84;512;i;46.41;1.523885085
clang++;-O2;bitset;85;512;i;46.63;1.540658604
clang++;-O2;bitset;86;512;i;47.67;1.540264587
clang++;-O2;bitset;87;512;i;46.42;1.544733309
clang++;-O2;bitset;88;512;i;46.61;1.528743004
clang++;-O2;bitset;89;512;i;46.49;1.540967851
clang++;-O2;bitset;90;512;i;46.41;1.541390642
clang++;-O2;bitset;91;512;i;46.43;1.540976408
clang++;-O2;bitset;92;512;i;46.52;1.544596713
clang++;-O2;bitset;93;512;i;46.51;1.544900652
clang++;-O2;bitset;94;512;i;46.44;1.541387225
clang++;-O2;bitset;95;512;i;45.94;1.533822898
clang++;-O2;bitset;96;512;i;46.68;1.541132399
clang++;-O2;bitset;97;512;i;46.43;1.544684167
clang++;-O2;bitset;98;512;i;46.38;1.541480679
clang++;-O2;bitset;99;512;i;46.61;1.528628871
clang++;-O2;bitset;00;1024;g;99.40;3.250968134
clang++;-O2;bitset;01;1024;g;100.55;3.254930540
clang++;-O2;bitset;02;1024;g;99.52;3.237336768
clang++;-O2;bitset;03;1024;g;100.12;3.258328380
clang++;-O2;bitset;04;1024;g;99.63;3.236176019
clang++;-O2;bitset;05;1024;g;100.12;3.247343580
clang++;-O2;bitset;06;1024;g;99.92;3.236454338
clang++;-O2;bitset;07;1024;g;102.47;3.247907484
clang++;-O2;bitset;08;1024;g;99.73;3.268922851
clang++;-O2;bitset;09;1024;g;99.90;3.237293527
clang++;-O2;bitset;10;1024;g;100.14;3.247224117
clang++;-O2;bitset;11;1024;g;99.45;3.257411457
clang++;-O2;bitset;12;1024;g;99.33;3.259517844
clang++;-O2;bitset;13;1024;g;99.41;3.258463603
clang++;-O2;bitset;14;1024;g;100.35;3.259024812
clang++;-O2;bitset;15;1024;g;100.97;3.269908252
clang++;-O2;bitset;16;1024;g;100.64;3.258645593
clang++;-O2;bitset;17;1024;g;100.07;3.246833066
clang++;-O2;bitset;18;1024;g;100.49;3.247645925
clang++;-O2;bitset;19;1024;g;100.48;3.247799212
clang++;-O2;bitset;20;1024;g;101.27;3.292347470
clang++;-O2;bitset;21;1024;g;99.86;3.236526264
clang++;-O2;bitset;22;1024;g;99.70;3.269528162
clang++;-O2;bitset;23;1024;g;99.99;3.236297095
clang++;-O2;bitset;24;1024;g;100.45;3.248272967
clang++;-O2;bitset;25;1024;g;100.07;3.235946229
clang++;-O2;bitset;26;1024;g;100.69;3.258516462
clang++;-O2;bitset;27;1024;g;100.59;3.259073963
clang++;-O2;bitset;28;1024;g;100.09;3.236302846
clang++;-O2;bitset;29;1024;g;100.39;3.258371510
clang++;-O2;bitset;30;1024;g;99.93;3.270424748
clang++;-O2;bitset;31;1024;g;99.91;3.279549671
clang++;-O2;bitset;32;1024;g;99.62;3.269584006
clang++;-O2;bitset;33;1024;g;100.55;3.280513994
clang++;-O2;bitset;34;1024;g;99.88;3.237169115
clang++;-O2;bitset;35;1024;g;100.64;3.257670270
clang++;-O2;bitset;36;1024;g;100.69;3.248235367
clang++;-O2;bitset;37;1024;g;99.43;3.258391717
clang++;-O2;bitset;38;1024;g;101.69;3.358856130
clang++;-O2;bitset;39;1024;g;99.55;3.266628673
clang++;-O2;bitset;40;1024;g;101.37;3.291879034
clang++;-O2;bitset;41;1024;g;99.72;3.233468679
clang++;-O2;bitset;42;1024;g;100.47;3.256332911
clang++;-O2;bitset;43;1024;g;100.16;3.235360975
clang++;-O2;bitset;44;1024;g;100.06;3.289188436
clang++;-O2;bitset;45;1024;g;99.92;3.236044574
clang++;-O2;bitset;46;1024;g;100.24;3.247033340
clang++;-O2;bitset;47;1024;g;99.82;3.229382241
clang++;-O2;bitset;48;1024;g;100.22;3.238880893
clang++;-O2;bitset;49;1024;g;101.00;3.278428556
clang++;-O2;bitset;50;1024;g;99.97;3.239205641
clang++;-O2;bitset;51;1024;g;99.83;3.274063798
clang++;-O2;bitset;52;1024;g;99.84;3.267925717
