#program;length;compiler;opt;energy(J);time(s);seed
bvector;1024;clang++;-O2;93.85;3.033306643;49
bvector;1024;clang++;-O2;92.91;3.084082201;50
bvector;1024;clang++;-O2;92.56;3.055307810;51
bvector;1024;clang++;-O2;92.39;3.056769010;52
bvector;1024;clang++;-O2;93.53;3.067627027;53
bvector;1024;clang++;-O2;92.51;3.071787871;54
bvector;1024;clang++;-O2;91.83;3.057513972;55
bvector;1024;clang++;-O2;92.01;3.076053891;56
bvector;1024;clang++;-O2;92.50;3.078603194;57
bvector;1024;clang++;-O2;93.17;3.085293849;58
bvector;1024;clang++;-O2;92.90;3.075910749;59
bvector;1024;clang++;-O2;92.42;3.052161536;60
bvector;1024;clang++;-O2;92.60;3.083078572;61
bvector;1024;clang++;-O2;92.58;3.054861981;62
bvector;1024;clang++;-O2;91.42;3.059930652;63
bvector;1024;clang++;-O2;91.81;3.078168728;64
bvector;1024;clang++;-O2;92.92;3.085147037;65
bvector;1024;clang++;-O2;92.84;3.058007258;66
bvector;1024;clang++;-O2;93.20;3.065833761;67
bvector;1024;clang++;-O2;92.94;3.054607817;68
bvector;1024;clang++;-O2;92.77;3.081750981;69
bvector;1024;clang++;-O2;92.95;3.054999328;70
bvector;1024;clang++;-O2;92.90;3.085058942;71
bvector;1024;clang++;-O2;93.74;3.063747163;72
bvector;1024;clang++;-O2;92.73;3.082359288;73
bvector;1024;clang++;-O2;92.66;3.057045831;74
bvector;1024;clang++;-O2;93.83;3.068499402;75
bvector;1024;clang++;-O2;92.69;3.054448508;76
bvector;1024;clang++;-O2;92.84;3.085487703;77
bvector;1024;clang++;-O2;93.24;3.053631121;78
bvector;1024;clang++;-O2;93.52;3.073166913;79
bvector;1024;clang++;-O2;93.76;3.070366841;80
bvector;1024;clang++;-O2;93.04;3.084616926;81
bvector;1024;clang++;-O2;92.47;3.048049844;82
bvector;1024;clang++;-O2;92.82;3.085396031;83
bvector;1024;clang++;-O2;92.42;3.049541420;84
bvector;1024;clang++;-O2;92.46;3.077184148;85
bvector;1024;clang++;-O2;93.47;3.065715891;86
bvector;1024;clang++;-O2;92.48;3.047315401;87
bvector;1024;clang++;-O2;93.37;3.070004353;88
bvector;1024;clang++;-O2;92.47;3.061675382;89
bvector;1024;clang++;-O2;92.42;3.054552973;90
bvector;1024;clang++;-O2;93.94;3.071496371;91
bvector;1024;clang++;-O2;92.28;3.065544981;92
bvector;1024;clang++;-O2;93.70;3.068517406;93
bvector;1024;clang++;-O2;92.72;3.055812477;94
bvector;1024;clang++;-O2;93.54;3.070170103;95
bvector;1024;clang++;-O2;92.78;3.055705838;96
bvector;1024;clang++;-O2;93.62;3.069179943;97
bvector;1024;clang++;-O2;92.93;3.085282900;98
bvector;1024;clang++;-O2;93.73;3.065270780;99
bvector;2048;clang++;-O2;187.57;6.137866404;00
bvector;2048;clang++;-O2;189.21;6.138450897;01
bvector;2048;clang++;-O2;187.55;6.135990199;02
bvector;2048;clang++;-O2;187.10;6.132143241;03
bvector;2048;clang++;-O2;184.01;6.106137692;04
bvector;2048;clang++;-O2;185.39;6.163420430;05
bvector;2048;clang++;-O2;185.66;6.165640538;06
bvector;2048;clang++;-O2;187.29;6.166110176;07
bvector;2048;clang++;-O2;189.47;6.116488482;08
bvector;2048;clang++;-O2;185.29;6.100396936;09
bvector;2048;clang++;-O2;185.84;6.165806819;10
bvector;2048;clang++;-O2;186.28;6.165239729;11
bvector;2048;clang++;-O2;185.87;6.159692054;12
bvector;2048;clang++;-O2;185.60;6.164268945;13
bvector;2048;clang++;-O2;185.67;6.108405419;14
bvector;2048;clang++;-O2;185.33;6.107393638;15
bvector;2048;clang++;-O2;186.98;6.138119768;16
bvector;2048;clang++;-O2;185.58;6.165470400;17
bvector;2048;clang++;-O2;187.48;6.136097149;18
bvector;2048;clang++;-O2;185.83;6.167393694;19
bvector;2048;clang++;-O2;188.06;6.138043506;20
bvector;2048;clang++;-O2;183.70;6.108737840;21
