make[1]: se entra en el directorio '/home/gustavo/src/papers/2024/energy/c++'
#program;length;compiler;opt;energy(J);time(s);run
string;512;clang++;-O2;17,10;0,501915461;10
string;512;clang++;-O2;17,36;0,511560336;11
string;512;clang++;-O2;17,12;0,502321469;12
string;512;clang++;-O2;17,76;0,503915849;13
string;512;clang++;-O2;17,16;0,504256896;14
string;1024;clang++;-O2;36,70;1,052304031;0
string;1024;clang++;-O2;36,96;1,079413966;1
string;1024;clang++;-O2;36,87;1,048775527;2
string;1024;clang++;-O2;37,30;1,076101165;3
string;1024;clang++;-O2;37,04;1,069671217;4
string;1024;clang++;-O2;35,90;1,060863708;5
string;1024;clang++;-O2;37,18;1,087497733;6
string;1024;clang++;-O2;36,28;1,046869143;7
string;1024;clang++;-O2;37,53;1,075904687;8
string;1024;clang++;-O2;36,44;1,071788685;9
string;1024;clang++;-O2;36,23;1,065031526;10
string;1024;clang++;-O2;37,36;1,086552667;11
string;1024;clang++;-O2;36,39;1,053548657;12
string;1024;clang++;-O2;36,71;1,060662030;13
string;1024;clang++;-O2;36,77;1,046047949;14
string;2048;clang++;-O2;77,09;2,254353945;0
string;2048;clang++;-O2;76,50;2,248574024;1
string;2048;clang++;-O2;76,41;2,245194988;2
string;2048;clang++;-O2;75,98;2,236112745;3
string;2048;clang++;-O2;76,14;2,241202147;4
string;2048;clang++;-O2;76,23;2,241993596;5
string;2048;clang++;-O2;76,19;2,242302372;6
string;2048;clang++;-O2;76,21;2,248042230;7
string;2048;clang++;-O2;75,57;2,212766845;8
string;2048;clang++;-O2;77,86;2,268982014;9
string;2048;clang++;-O2;76,68;2,230937143;10
string;2048;clang++;-O2;76,84;2,251715575;11
string;2048;clang++;-O2;76,51;2,254517131;12
string;2048;clang++;-O2;76,45;2,257456093;13
string;2048;clang++;-O2;77,49;2,259115995;14
bitset;512;clang++;-O3;62,38;1,870013837;0
bitset;512;clang++;-O3;62,46;1,891708170;1
bitset;512;clang++;-O3;63,81;1,844872672;2
bitset;512;clang++;-O3;62,79;1,830331466;3
bitset;512;clang++;-O3;63,34;1,886372389;4
bitset;512;clang++;-O3;61,63;1,871733240;5
bitset;512;clang++;-O3;63,26;1,883205541;6
bitset;512;clang++;-O3;61,66;1,863775749;7
bitset;512;clang++;-O3;62,80;1,881537273;8
bitset;512;clang++;-O3;63,03;1,824060657;9
bitset;512;clang++;-O3;63,68;1,840394182;10
bitset;512;clang++;-O3;63,32;1,847631368;11
bitset;512;clang++;-O3;62,59;1,859377630;12
bitset;512;clang++;-O3;62,51;1,869425167;13
bitset;512;clang++;-O3;62,36;1,874497035;14
bitset;1024;clang++;-O3;129,57;3,767298239;0
